last_name, first_name,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,b_k_percent,b_bb_percent,batting_avg,b_rbi,exit_velocity_avg,launch_angle_avg,
Merrifield, Whit,2020,31,248,265,70,49,12,0,9,33,12,12.5,4.5,.282,30,86.1,15.8,
Duvall, Adam,2020,32,190,209,45,21,8,0,16,54,15,25.8,7.2,.237,33,88.1,22.9,
Freeman, Freddie,2020,31,214,262,73,36,23,1,13,37,45,14.1,17.2,.341,53,92.4,17.2,
Reddick, Josh,2020,33,188,210,46,30,11,1,4,42,20,20.0,9.5,.245,23,85.9,19.1,
Taylor, Chris,2020,30,185,214,50,30,10,2,8,55,26,25.7,12.1,.270,32,88,9.1,
McNeil, Jeff,2020,28,183,209,57,39,14,0,4,24,20,11.5,9.6,.311,23,86.6,11.5,
Piscotty, Stephen,2020,29,159,171,36,25,6,0,5,53,9,31.0,5.3,.226,29,88.1,13.5,
Cron, C.J.,2020,30,42,52,8,1,3,0,4,16,9,30.8,17.3,.190,8,85.5,20.6,
Sandoval, Pablo,2020,34,84,94,18,16,1,0,1,19,8,20.2,8.5,.214,6,91.9,8,
Crawford, J.P.,2020,25,204,232,52,41,7,2,2,39,23,16.8,9.9,.255,24,85.8,11.5,
Leon, Sandy,2020,31,66,81,9,6,1,0,2,21,14,25.9,17.3,.136,4,84.9,17.9,
Realmuto, J.T.,2020,29,173,195,46,29,6,0,11,48,16,24.6,8.2,.266,32,90.2,11.6,
Belt, Brandon,2020,32,149,179,46,23,13,1,9,36,30,20.1,16.8,.309,30,90.7,18,
Ohtani, Shohei,2020,26,153,175,29,16,6,0,7,50,22,28.6,12.6,.190,24,89.1,9.2,
Myers, Wil,2020,30,198,218,57,26,14,2,15,56,18,25.7,8.3,.288,40,91,13.4,
Moore, Dylan,2020,28,137,159,35,18,9,0,8,43,14,27.0,8.8,.255,17,90.4,17.3,
LeMahieu, DJ,2020,32,195,216,71,49,10,2,10,21,18,9.7,8.3,.364,27,91.3,2.2,
Zimmer, Bradley,2020,28,37,50,6,5,0,0,1,14,7,28.0,14.0,.162,3,84.1,16.4,
Semien, Marcus,2020,30,211,236,47,30,9,1,7,50,25,21.2,10.6,.223,23,86.2,19.3,
Polanco, Jorge,2020,27,209,226,54,42,8,0,4,35,13,15.5,5.8,.258,19,86.6,16.1,
Senzel, Nick,2020,25,70,78,13,5,6,0,2,15,6,19.2,7.7,.186,8,88.3,16.3,
Yastrzemski, Mike,2020,30,192,225,57,29,14,4,10,55,30,24.4,13.3,.297,35,88.2,18.4,
Pham, Tommy,2020,32,109,125,23,18,2,0,3,27,15,21.6,12.0,.211,12,92.8,2.4,
Peraza, Jose,2020,26,111,120,25,15,8,1,1,18,5,15.0,4.2,.225,8,85.4,20,
Encarnacion, Edwin,2020,37,159,181,25,10,5,0,10,54,16,29.8,8.8,.157,19,85.4,22.8,
Escobar, Eduardo,2020,31,203,222,43,29,7,3,4,41,15,18.5,6.8,.212,20,88.6,18.1,
Moran, Colin,2020,28,178,200,44,24,10,0,10,52,19,26.0,9.5,.247,23,91.9,8.3,
Eaton, Adam,2020,32,159,176,36,20,11,1,4,32,12,18.2,6.8,.226,17,87.8,5.7,
Bonifacio, Jorge,2020,27,86,94,19,14,3,0,2,26,5,27.7,5.3,.221,17,82.9,18.3,
Santander, Anthony,2020,26,153,165,40,15,13,1,11,25,10,15.2,6.1,.261,32,88.6,24.7,
Judge, Aaron,2020,28,101,114,26,14,3,0,9,32,10,28.1,8.8,.257,22,92.2,15.7,
Gonzalez, Marwin,2020,31,175,199,37,28,4,0,5,41,17,20.6,8.5,.211,22,89.2,12.6,
Iglesias, Jose,2020,30,142,150,53,33,17,0,3,17,3,11.3,2.0,.373,24,86.4,7.3,
Hosmer, Eric,2020,31,143,156,41,26,6,0,9,28,9,17.9,5.8,.287,36,90.8,8.7,
Reyes, Franmil,2020,25,211,241,58,39,10,0,9,69,24,28.6,10.0,.275,34,92.4,11.2,
Carpenter, Matt,2020,35,140,169,26,16,6,0,4,48,23,28.4,13.6,.186,24,88.2,17,
Brantley, Michael,2020,33,170,187,51,31,15,0,5,28,17,15.0,9.1,.300,22,88.7,10.2,
Ramos, Wilson,2020,33,142,155,34,23,6,0,5,31,10,20.0,6.5,.239,15,89,6.5,
Farmer, Kyle,2020,30,64,70,17,14,3,0,0,13,5,18.6,7.1,.266,4,89.6,18.2,
Story, Trevor,2020,28,235,259,68,40,13,4,11,63,24,24.3,9.3,.289,28,89.9,20.8,
Fletcher, David,2020,26,207,230,66,50,13,0,3,25,20,10.9,8.7,.319,18,84.7,4.1,
Maybin, Cameron,2020,33,93,101,23,13,8,1,1,25,7,24.8,6.9,.247,7,87.8,8.9,
Flowers, Tyler,2020,34,69,80,15,8,6,0,1,34,8,42.5,10.0,.217,5,93,16.2,
Moustakas, Mike,2020,32,139,163,32,15,9,0,8,36,18,22.1,11.0,.230,27,88.8,16.3,
Soler, Jorge,2020,28,149,174,34,18,8,0,8,60,19,34.5,10.9,.228,24,92.5,15.5,
Hiura, Keston,2020,24,217,246,46,29,4,0,13,85,16,34.6,6.5,.212,32,87.4,14.3,
Garcia, Greg,2020,31,60,71,12,9,3,0,0,18,7,25.4,9.9,.200,11,83.4,11.1,
Robert, Luis,2020,23,202,227,47,28,8,0,11,73,20,32.2,8.8,.233,31,87.9,16.7,
Schwarber, Kyle,2020,27,191,224,36,19,6,0,11,66,30,29.5,13.4,.188,24,92.8,8.8,
Cervelli, Francisco,2020,34,53,62,13,8,2,0,3,14,8,22.6,12.9,.245,7,89,13.3,
Muncy, Max,2020,30,203,248,39,23,4,0,12,60,39,24.2,15.7,.192,27,88.5,14.2,
Cooper, Garrett,2020,30,120,133,34,20,8,0,6,31,11,23.3,8.3,.283,20,90.1,9.5,
Alonso, Pete,2020,26,208,239,48,26,6,0,16,61,24,25.5,10.0,.231,35,90.2,15.5,
Lin, Tzu-Wei,2020,26,52,57,8,7,1,0,0,17,2,29.8,3.5,.154,3,85.5,13.7,
Donaldson, Josh,2020,35,81,102,18,10,2,0,6,24,18,23.5,17.6,.222,11,92.8,6.2,
Arenado, Nolan,2020,29,182,201,46,29,9,0,8,20,15,10.0,7.5,.253,26,87.8,19.1,
Baez, Javier,2020,28,222,235,45,27,9,1,8,75,7,31.9,3.0,.203,24,89.4,10.3,
Lopez, Nicky,2020,25,169,192,34,25,8,0,1,41,18,21.4,9.4,.201,13,84.9,1.4,
Nunez, Renato,2020,26,195,216,50,28,10,0,12,64,17,29.6,7.9,.256,31,86.3,21.1,
Santana, Carlos,2020,34,206,255,41,26,7,0,8,43,47,16.9,18.4,.199,30,88,12.2,
Cave, Jake,2020,28,113,123,25,16,3,2,4,44,5,35.8,4.1,.221,15,87.4,8.5,
Rosario, Amed,2020,25,143,147,36,28,3,1,4,34,4,23.1,2.7,.252,15,86.5,4.2,
Berti, Jon,2020,30,120,149,31,24,5,0,2,37,23,24.8,15.4,.258,14,86.6,7.2,
Santana, Domingo,2020,28,70,84,11,6,3,0,2,25,13,29.8,15.5,.157,12,85.5,5.4,
Davis, J.D.,2020,27,190,229,47,32,9,0,6,56,31,24.5,13.5,.247,19,90.1,3.3,
Mathis, Jeff,2020,37,62,68,10,5,1,1,3,24,5,35.3,7.4,.161,9,89.6,20.6,
Shaw, Travis,2020,30,163,180,39,23,10,0,6,50,16,27.8,8.9,.239,17,90.9,19.8,
La Stella, Tommy,2020,31,196,228,55,34,14,2,5,12,27,5.3,11.8,.281,25,88,17.1,
Villar, Jonathan,2020,29,185,207,43,36,5,0,2,54,19,26.1,9.2,.232,15,86.7,1.6,
Ruf, Darin,2020,34,87,100,24,13,6,0,5,23,13,23.0,13.0,.276,18,89.4,12.5,
Gordon, Alex,2020,36,163,184,34,26,4,0,4,37,18,20.1,9.8,.209,11,82.8,11.6,
Benintendi, Andrew,2020,26,39,52,4,3,1,0,0,17,11,32.7,21.2,.103,1,85.2,8.6,
Frazier, Adam,2020,29,209,230,48,34,7,0,7,35,17,15.2,7.4,.230,23,85.5,12.3,
Anderson, Brian,2020,27,200,229,51,32,7,1,11,66,22,28.8,9.6,.255,38,87.4,9.6,
Hernandez, Cesar,2020,30,233,261,66,43,20,0,3,57,24,21.8,9.2,.283,20,89.1,5.6,
Gallagher, Cam,2020,28,53,60,15,9,5,0,1,11,6,18.3,10.0,.283,3,82.7,14.9,
Casali, Curt,2020,32,76,93,17,8,3,0,6,29,14,31.2,15.1,.224,8,88.6,22.1,
Olivares, Edward,2020,24,96,101,23,17,2,1,3,25,4,24.8,4.0,.240,10,82.7,7.6,
Gardner, Brett,2020,37,130,158,29,18,5,1,5,35,26,22.2,16.5,.223,15,89.2,15,
Dyson, Jarrod,2020,36,61,66,11,11,0,0,0,11,4,16.7,6.1,.180,5,82.7,5.7,
Calhoun, Willie,2020,26,100,108,19,15,2,1,1,17,5,15.7,4.6,.190,13,89.3,14.4,
Fowler, Dexter,2020,34,90,101,21,15,2,0,4,28,10,27.7,9.9,.233,15,84.5,11.2,
Murphy, John Ryan,2020,29,58,63,10,8,2,0,0,28,4,44.4,6.3,.172,2,83,7.3,
Lux, Gavin,2020,23,63,69,11,6,2,0,3,19,6,27.5,8.7,.175,8,87.1,13.9,
Bader, Harrison,2020,26,106,125,24,11,7,2,4,40,13,32.0,10.4,.226,11,86,15.7,
Aguilar, Jesus,2020,30,188,216,52,34,10,0,8,40,23,18.5,10.6,.277,34,89.3,16,
Smoak, Justin,2020,34,119,132,21,9,7,0,5,42,10,31.8,7.6,.176,15,89.6,15.3,
Carlson, Dylan,2020,22,110,119,22,11,7,1,3,35,8,29.4,6.7,.200,16,87.4,9.3,
Chisholm, Jazz,2020,22,56,62,9,5,1,1,2,19,5,30.6,8.1,.161,6,87.1,15.6,
Gurriel Jr., Lourdes,2020,27,208,224,64,39,14,0,11,48,14,21.4,6.3,.308,33,90.8,10.5,
Acuna Jr., Ronald,2020,23,160,202,40,15,11,0,14,60,38,29.7,18.8,.250,29,92.4,18.6,
Harper, Bryce,2020,28,190,244,51,27,9,2,13,43,49,17.6,20.1,.268,33,92.5,16,
Hedges, Austin,2020,28,69,83,10,6,1,0,3,23,6,27.7,7.2,.145,6,90.2,18.6,
Tucker, Cole,2020,24,109,116,24,20,3,0,1,31,5,26.7,4.3,.220,8,83.1,13.3,
Pence, Hunter,2020,37,52,56,5,2,0,1,2,15,3,26.8,5.4,.096,6,87.6,4.2,
Gomes, Yan,2020,33,109,119,31,20,6,1,4,22,6,18.5,5.0,.284,13,89.9,17.6,
Murphy, Sean,2020,26,116,140,27,15,5,0,7,37,24,26.4,17.1,.233,14,92.2,14.7,
Calhoun, Kole,2020,33,190,228,43,18,9,0,16,50,28,21.9,12.3,.226,40,89.4,17,
Nimmo, Brandon,2020,27,186,225,52,33,8,3,8,43,33,19.1,14.7,.280,18,87.2,7.6,
Pollock, AJ,2020,33,196,210,54,29,9,0,16,45,12,21.4,5.7,.276,34,89.6,13,
Wolters, Tony,2020,28,100,109,23,19,4,0,0,30,6,27.5,5.5,.230,8,84.1,8.2,
Toro, Abraham,2020,24,87,97,13,8,2,0,3,23,3,23.7,3.1,.149,9,86.1,7.6,
Peralta, David,2020,33,203,218,61,45,10,1,5,45,13,20.6,6.0,.300,34,89.2,6.4,
Murphy, Daniel,2020,35,123,132,29,23,3,0,3,21,7,15.9,5.3,.236,16,85.1,15.5,
Diaz, Aledmys,2020,30,58,59,14,6,5,0,3,12,1,20.3,1.7,.241,6,87.3,10.2,
Castro, Jason,2020,33,80,92,15,4,9,0,2,33,12,35.9,13.0,.188,9,92.7,19.7,
Romine, Austin,2020,32,130,135,31,24,5,0,2,47,4,34.8,3.0,.238,17,87.9,7.7,
Haseley, Adam,2020,24,79,92,22,17,5,0,0,17,7,18.5,7.6,.278,13,86.6,0.3,
Holt, Brock,2020,32,95,106,20,14,6,0,0,24,9,22.6,8.5,.211,5,84,10.5,
Jeffers, Ryan,2020,23,55,62,15,12,0,0,3,19,5,30.6,8.1,.273,7,91.6,10.3,
Dickerson, Corey,2020,31,194,210,50,37,5,1,7,35,15,16.7,7.1,.258,17,85.7,11.1,
Lamb, Jake,2020,30,88,99,17,9,5,0,3,25,8,25.3,8.1,.193,10,90.2,16.7,
Hampson, Garrett,2020,26,167,184,39,27,4,3,5,60,13,32.6,7.1,.234,11,86.3,14.4,
Gallo, Joey,2020,27,193,226,35,17,8,0,10,79,29,35.0,12.8,.181,26,91.2,26.8,
Castro, Willi,2020,23,129,140,45,33,4,2,6,38,7,27.1,5.0,.349,24,85.3,11.3,
Davis, Khris,2020,33,85,99,17,10,5,0,2,26,10,26.3,10.1,.200,10,87.7,18.9,
Vogt, Stephen,2020,36,72,81,12,6,5,0,1,18,8,22.2,9.9,.167,7,87.3,21.2,
Hernandez, Teoscar,2020,28,190,207,55,32,7,0,16,63,14,30.4,6.8,.289,34,93.3,15.3,
Molina, Yadier,2020,38,145,156,38,32,2,0,4,21,6,13.5,3.8,.262,16,84.7,12.3,
Inciarte, Ender,2020,30,116,131,22,18,2,1,1,25,12,19.1,9.2,.190,10,78.2,8.4,
Dozier, Hunter,2020,29,158,186,36,24,4,2,6,48,27,25.8,14.5,.228,12,86.4,17,
Gurriel, Yuli,2020,36,211,230,49,30,12,1,6,27,12,11.7,5.2,.232,22,89.3,13.9,
Caratini, Victor,2020,27,116,132,28,20,7,0,1,31,12,23.5,9.1,.241,16,87.9,6.2,
Kemp, Tony,2020,29,93,114,23,18,5,0,0,14,15,12.3,13.2,.247,4,85.8,18.8,
Hernandez, Enrique,2020,29,139,148,32,18,8,1,5,31,6,20.9,4.1,.230,20,88.5,16.2,
Castro, Starlin,2020,30,60,63,16,10,3,1,2,13,3,20.6,4.8,.267,4,87.1,16.8,
Kelly, Carson,2020,26,122,129,27,17,5,0,5,29,6,22.5,4.7,.221,19,86.3,16.7,
Barnhart, Tucker,2020,29,98,110,20,12,3,0,5,28,12,25.5,10.9,.204,13,85.4,19.7,
Arcia, Orlando,2020,26,173,189,45,29,10,1,5,32,14,16.9,7.4,.260,20,89,9.6,
McMahon, Ryan,2020,26,172,193,37,21,6,1,9,66,18,34.2,9.3,.215,26,90.1,9.2,
Ahmed, Nick,2020,30,199,217,53,37,10,1,5,46,18,21.2,8.3,.266,29,87.7,9.4,
Tromp, Chadwick,2020,25,61,64,13,8,1,0,4,20,1,31.3,1.6,.213,10,90.1,10.1,
Lindor, Francisco,2020,27,236,266,61,40,13,0,8,41,24,15.4,9.0,.258,27,89.9,13.5,
Rosario, Eddie,2020,29,210,231,54,34,7,0,13,34,19,14.7,8.2,.257,42,87.5,18.1,
France, Ty,2020,26,141,155,43,29,9,1,4,37,11,23.9,7.1,.305,23,85.7,14.8,
Haggerty, Sam,2020,26,50,54,13,8,4,0,1,16,4,29.6,7.4,.260,6,90.6,13,
Ervin, Phillip,2020,28,74,89,11,8,3,0,0,22,14,24.7,15.7,.149,4,85.4,16,
Grandal, Yasmani,2020,32,161,194,37,22,7,0,8,58,30,29.9,15.5,.230,27,90.3,15.6,
Torres, Gleyber,2020,24,136,160,33,22,8,0,3,28,22,17.5,13.8,.243,16,88.8,14.7,
Cabrera, Asdrubal,2020,35,190,213,46,26,9,3,8,40,19,18.8,8.9,.242,31,89.5,13.7,
Sano, Miguel,2020,27,186,205,38,13,12,0,13,90,18,43.9,8.8,.204,25,95.2,20.2,
Grisham, Trent,2020,24,215,252,54,33,8,3,10,64,31,25.4,12.3,.251,26,88.3,13.5,
Engel, Adam,2020,29,88,93,26,17,5,1,3,19,3,20.4,3.2,.295,12,87.2,14,
Plawecki, Kevin,2020,29,82,89,28,21,5,1,1,14,5,15.7,5.6,.341,17,88.9,12.7,
Stallings, Jacob,2020,31,125,143,31,21,7,0,3,40,15,28.0,10.5,.248,18,88.6,12.4,
DeShields, Delino,2020,28,107,120,27,22,3,2,0,29,9,24.2,7.5,.252,7,84,5.8,
Castellanos, Nick,2020,28,218,242,49,22,11,2,14,69,19,28.5,7.9,.225,34,91,16.5,
Rojas, Josh,2020,26,61,70,11,11,0,0,0,16,7,22.9,10.0,.180,2,86,5.4,
Hechavarria, Adeiny,2020,31,59,63,15,12,3,0,0,12,4,19.0,6.3,.254,2,82.9,11.2,
Kiner-Falefa, Isiah,2020,25,211,228,59,49,4,3,3,32,14,14.0,6.1,.280,10,87.2,0.8,
Rojas, Miguel,2020,31,125,143,38,23,10,1,4,18,16,12.6,11.2,.304,20,87.3,11.9,
Votto, Joey,2020,37,186,223,42,23,8,0,11,43,37,19.3,16.6,.226,22,87.4,15.4,
Anderson, Tim,2020,27,208,221,67,45,11,1,10,50,10,22.6,4.5,.322,21,87.2,6.7,
Wong, Kolten,2020,30,181,208,48,41,4,2,1,30,20,14.4,9.6,.265,16,86.5,10.8,
Aquino, Aristides,2020,26,47,56,8,5,1,0,2,18,6,32.1,10.7,.170,8,82.2,10.6,
Sisco, Chance,2020,25,98,121,21,13,4,0,4,41,17,33.9,14.0,.214,10,88.8,20,
Upton, Justin,2020,33,147,166,30,16,5,0,9,43,11,25.9,6.6,.204,22,91.7,18.6,
